appid,name,cluster_characteristics,cluster_popularity,cluster_comprehensive
6000,STAR WARS™ Republic Commando™,0,0,0
6010,Indiana Jones® and the Fate of Atlantis™,0,0,0
6020,STAR WARS™ Jedi Knight - Jedi Academy™,0,0,0
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,0,0,0
6040,The Dig®,0,0,0
6060,"Star Wars: Battlefront 2 (Classic, 2005)",0,0,0
6120,Shank,0,0,0
6200,Ghost Master®,0,0,0
6220,FlatOut,0,0,0
6250,Making History: The Calm & the Storm,0,0,0
6300,Dreamfall: The Longest Journey,0,0,0
6310,The Longest Journey,0,0,0
6370,Bloodline Champions,0,0,0
6420,Nexus - The Jupiter Incident,0,0,0
6510,Lost Planet™: Extreme Condition,0,0,0
6550,Devil May Cry® 3 Special Edition,0,0,0
6800,Commandos: Behind Enemy Lines,0,0,0
6810,Commandos: Beyond the Call of Duty,0,0,0
6830,Commandos 2: Men of Courage,0,0,0
6840,Commandos 3: Destination Berlin,0,0,0
6850,Hitman 2: Silent Assassin,0,0,0
6860,Hitman: Blood Money,0,0,0
6870,Battlestations: Midway,0,0,0
6880,Just Cause,0,0,0
6900,Hitman: Codename 47,0,0,0
6910,Deus Ex: Game of the Year Edition,0,0,0
6920,Deus Ex: Invisible War,0,0,0
6980,Thief: Deadly Shadows,0,0,0
7000,Tomb Raider: Legend,0,0,0
7010,Project: Snowblind,0,0,0
7020,Rogue Trooper,0,0,0
7110,Jade Empire™: Special Edition,0,0,0
7200,Trackmania United Forever Star Edition,0,0,0
7210,"Runaway, A Road Adventure",0,0,0
7220,"Runaway, The Dream of The Turtle",0,0,0
7510,X-Blades,0,0,0
7520,Two Worlds II HD,0,0,0
7530,Two Worlds II Castle Defense,0,0,0
7600,Sid Meier's Railroads!,0,0,0
7610,Railroad Tycoon 3,0,0,0
7620,Railroad Tycoon II Platinum,0,0,0
7650,X-COM: Terror From the Deep,0,0,0
7660,X-COM: Apocalypse,0,0,0
7730,X-COM: Interceptor,0,0,0
7760,X-COM: UFO Defense,0,0,0
7770,X-COM: Enforcer,0,0,0
7830,Men of War™,0,0,0
7860,NecroVision,0,0,0
7940,Call of Duty® 4: Modern Warfare®,0,0,0
8000,Tomb Raider: Anniversary,0,0,0
8080,Kane and Lynch: Dead Men™,0,0,0
8100,Conflict: Denied Ops,0,0,0
8140,Tomb Raider: Underworld,0,0,0
8170,Battlestations Pacific,0,0,0
8190,Just Cause 2,0,0,0
8310,Bone: Out From Boneville,0,0,0
8320,Bone: The Great Cow Race,0,0,0
8330,Telltale Texas Hold ‘Em,0,0,0
8340,Strong Bad's Cool Game for Attractive People: Season 1,0,0,0
8400,Geometry Wars: Retro Evolved,0,0,0
8500,EVE Online,0,0,0
8600,RACE 07,0,0,0
8790,GTR 2 FIA GT Racing Game,0,0,0
8800,Civilization IV: Beyond the Sword,0,0,0
8870,BioShock Infinite,0,0,0
8880,Freedom Force,0,0,0
8890,Freedom Force vs. the Third Reich,0,0,0
8930,Sid Meier's Civilization® V,0,0,0
9000,Spear of Destiny,0,0,0
9010,Return to Castle Wolfenstein,0,0,0
9030,QUAKE Mission Pack 2: Dissolution of Eternity,0,0,0
9040,QUAKE Mission Pack 1: Scourge of Armagon,0,0,0
9050,DOOM 3,0,0,0
9060,HeXen II,0,0,0
9160,Master Levels for Doom II,0,0,0
9180,Commander Keen,0,0,0
9200,RAGE,0,0,0
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",0,0,0
9340,Company of Heroes: Opposing Fronts,0,0,0
9350,Supreme Commander,0,0,0
